window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status,restriction
24m,exclude_primary_dominant_project,06_2500_5000,equal_project,uniswap,24,1.041713498708851,0.1183275936739837,0.9233859050348675,0.7528330632729695,0.7528330632729695,24,0,0,0.23630388883423542,2.194418659988259,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,uniswap,24,1.0817974331841371,0.17645936590488395,0.9053380672792531,0.7528330632729695,0.7528330632729695,24,0,0,0.1625601306645455,2.127319918268529,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,07_5000_10000,equal_project,uniswap,24,1.055123697938394,0.1183275936739837,0.9367961042644103,0.668665377025996,0.668665377025996,24,0,0,0.256097642220205,2.4231812280325804,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,uniswap,24,1.046058148338903,0.1556129342144448,0.8904452141244583,0.668665377025996,0.668665377025996,24,0,0,0.23427169969075953,1.93897568606815,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,08_10000_25000,equal_project,uniswap,24,1.2477054158325978,0.1183275936739837,1.129377822158614,0.6665863116028415,0.6665863116028415,24,0,0,0.19766659382170274,2.820185002542496,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,uniswap,24,1.1726630960520545,0.13068347336527442,1.0419796226867801,0.6665863116028415,0.6665863116028415,24,0,0,0.34607107028987627,2.2957790362199013,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,09_25000_50000,equal_project,uniswap,24,1.3808348335308576,0.1183275936739837,1.2625072398568737,0.927426144540647,0.927426144540647,23,1,0,-0.0033394174819963585,3.8315672818396034,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,uniswap,24,1.441411380520386,0.10373563778537903,1.337675742735007,0.927426144540647,0.927426144540647,24,0,0,0.30292550570250065,3.171301795814034,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,10_50000_100000,equal_project,uniswap,24,1.3519791596948465,0.1183275936739837,1.233651566020863,0.8708667731065329,0.8708667731065329,23,1,0,-0.038927301533183724,4.286369919871868,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,uniswap,24,1.447900342999655,0.09316694465733177,1.3547333983423233,0.8708667731065329,0.8708667731065329,24,0,0,0.0794162651644959,3.650437547844597,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,11_100000_plus,equal_project,uniswap,24,2.5147687395521525,0.1183275936739837,2.396441145878169,0.9582329388671574,0.9582329388671574,24,0,0,0.029026156534370413,11.248845681777924,descriptive_sensitivity_not_a_hypothesis_test,common_bins
