window,scope,trade_size_bin,project,months,mean_difference_pp,months_positive,months_negative,months_zero
24m,all_projects,09_25000_50000,valantis,8,0.0,0,0,8
24m,all_projects,09_25000_50000,verse_dex,11,1.4133128636788757,1,7,3
24m,all_projects,09_25000_50000,xchange,5,0.0,0,0,5
24m,all_projects,10_50000_100000,0x API,16,-0.0005057991703377227,0,3,13
24m,all_projects,10_50000_100000,0x-API,24,0.0,0,0,24
24m,all_projects,10_50000_100000,1inch-LOP,24,0.0,0,0,24
24m,all_projects,10_50000_100000,airswap,17,0.0,0,0,17
24m,all_projects,10_50000_100000,balancer,24,0.8993143215573332,24,0,0
24m,all_projects,10_50000_100000,bancor,18,-0.0014447526583448913,0,1,17
24m,all_projects,10_50000_100000,carbon_defi,3,0.0,0,0,3
24m,all_projects,10_50000_100000,clipper,20,0.0,0,0,20
24m,all_projects,10_50000_100000,curve,24,1.3826127053781303,22,2,0
24m,all_projects,10_50000_100000,defiswap,14,-0.1787641371437174,0,11,3
24m,all_projects,10_50000_100000,dodo,24,4.28581489888651,17,7,0
24m,all_projects,10_50000_100000,ekubo,10,2.626468459010103,9,0,1
24m,all_projects,10_50000_100000,eulerswap,7,0.0,0,0,7
24m,all_projects,10_50000_100000,fluid,15,0.028366550894320643,4,2,9
24m,all_projects,10_50000_100000,fraxswap,22,5.908670670105471,12,3,7
24m,all_projects,10_50000_100000,integral,21,0.0,0,0,21
24m,all_projects,10_50000_100000,kyberswap,5,0.0,0,0,5
24m,all_projects,10_50000_100000,mauve,1,0.0,0,0,1
24m,all_projects,10_50000_100000,maverick,24,2.0816138118504206,21,1,2
24m,all_projects,10_50000_100000,native,8,0.0,0,0,8
24m,all_projects,10_50000_100000,origin_arm,24,0.0,0,0,24
24m,all_projects,10_50000_100000,pancakeswap,24,0.5696493633902681,18,6,0
24m,all_projects,10_50000_100000,shibaswap,23,7.546726425679247,9,14,0
24m,all_projects,10_50000_100000,solidly,20,1.7159269196075886,11,9,0
24m,all_projects,10_50000_100000,sushiswap,24,1.4922505062726554,14,10,0
24m,all_projects,10_50000_100000,swaap,20,0.0,0,0,20
24m,all_projects,10_50000_100000,swapr,1,-2.5423728813559325,0,1,0
24m,all_projects,10_50000_100000,uniswap,24,1.8895559921759204,24,0,0
24m,all_projects,10_50000_100000,valantis,8,0.0,0,0,8
24m,all_projects,10_50000_100000,verse_dex,9,-0.07978766850064363,0,5,4
24m,all_projects,10_50000_100000,xchange,6,0.0,0,0,6
24m,all_projects,11_100000_plus,0x API,15,-0.0005395191150269041,0,3,12
24m,all_projects,11_100000_plus,0x-API,24,0.0,0,0,24
24m,all_projects,11_100000_plus,1inch-LOP,24,0.0,0,0,24
24m,all_projects,11_100000_plus,airswap,16,0.0,0,0,16
24m,all_projects,11_100000_plus,balancer,24,1.8397880364028207,24,0,0
24m,all_projects,11_100000_plus,bancor,13,16.666666666666664,3,0,10
24m,all_projects,11_100000_plus,carbon_defi,3,0.0,0,0,3
24m,all_projects,11_100000_plus,clipper,8,0.0,0,0,8
24m,all_projects,11_100000_plus,curve,24,1.6290698547603022,24,0,0
24m,all_projects,11_100000_plus,defiswap,10,-0.1180136568926559,0,9,1
24m,all_projects,11_100000_plus,dodo,24,1.285414563850359,16,8,0
24m,all_projects,11_100000_plus,ekubo,10,0.4422806171563568,6,3,1
24m,all_projects,11_100000_plus,eulerswap,7,0.0,0,0,7
24m,all_projects,11_100000_plus,fluid,15,0.20912826370378182,12,0,3
24m,all_projects,11_100000_plus,fraxswap,17,21.277978750981063,10,3,4
24m,all_projects,11_100000_plus,integral,21,0.0,0,0,21
24m,all_projects,11_100000_plus,kyberswap,1,0.0,0,0,1
24m,all_projects,11_100000_plus,maverick,24,3.3307293107362863,19,2,3
24m,all_projects,11_100000_plus,native,8,0.0,0,0,8
24m,all_projects,11_100000_plus,origin_arm,24,0.0,0,0,24
24m,all_projects,11_100000_plus,pancakeswap,24,3.026906525382333,20,4,0
24m,all_projects,11_100000_plus,shibaswap,22,3.4766629345615736,5,16,1
24m,all_projects,11_100000_plus,solidly,18,1.9353878922074164,9,9,0
24m,all_projects,11_100000_plus,sushiswap,24,0.9579790943908345,10,14,0
24m,all_projects,11_100000_plus,swaap,19,0.0,0,0,19
24m,all_projects,11_100000_plus,swapr,1,0.0,0,0,1
24m,all_projects,11_100000_plus,uniswap,24,1.027887037037277,23,1,0
24m,all_projects,11_100000_plus,valantis,7,0.0,0,0,7
24m,all_projects,11_100000_plus,verse_dex,11,-0.16414032035142914,0,8,3
24m,all_projects,11_100000_plus,xchange,5,-0.17543859649122806,0,1,4
24m,exclude_primary_dominant_project,02_100_250,0x API,15,-0.0005395191150269041,0,3,12
24m,exclude_primary_dominant_project,02_100_250,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,02_100_250,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,02_100_250,airswap,21,0.0,0,0,21
24m,exclude_primary_dominant_project,02_100_250,balancer,24,0.15745590119136368,22,2,0
24m,exclude_primary_dominant_project,02_100_250,bancor,24,0.02062131812030348,11,0,13
24m,exclude_primary_dominant_project,02_100_250,carbon_defi,24,0.0,0,0,24
24m,exclude_primary_dominant_project,02_100_250,clipper,24,0.0,0,0,24
24m,exclude_primary_dominant_project,02_100_250,curve,24,0.035873719532061844,18,6,0
24m,exclude_primary_dominant_project,02_100_250,defiswap,24,0.10299506221987738,17,5,2
24m,exclude_primary_dominant_project,02_100_250,dfx,8,0.0,0,0,8
24m,exclude_primary_dominant_project,02_100_250,dodo,24,0.610141396429111,23,0,1
24m,exclude_primary_dominant_project,02_100_250,ekubo,10,0.4295460819746772,8,1,1
24m,exclude_primary_dominant_project,02_100_250,eulerswap,6,0.0,0,0,6
24m,exclude_primary_dominant_project,02_100_250,fluid,14,-0.0020349026522727344,0,2,12
24m,exclude_primary_dominant_project,02_100_250,fraxswap,24,0.13424901998914388,9,1,14
24m,exclude_primary_dominant_project,02_100_250,integral,17,0.0,0,0,17
24m,exclude_primary_dominant_project,02_100_250,kyberswap,24,0.13326526836559313,4,3,17
24m,exclude_primary_dominant_project,02_100_250,mauve,1,0.0,0,0,1
24m,exclude_primary_dominant_project,02_100_250,maverick,24,0.20191240684080905,15,7,2
24m,exclude_primary_dominant_project,02_100_250,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,02_100_250,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,02_100_250,pancakeswap,24,0.12820483333016827,16,8,0
24m,exclude_primary_dominant_project,02_100_250,shibaswap,24,1.0510281701529802,23,1,0
24m,exclude_primary_dominant_project,02_100_250,solidly,24,0.4731689830276677,14,8,2
24m,exclude_primary_dominant_project,02_100_250,sushiswap,24,0.38744176718754947,23,1,0
24m,exclude_primary_dominant_project,02_100_250,swaap,22,0.0,0,0,22
24m,exclude_primary_dominant_project,02_100_250,swapr,14,1.1254698814558497,1,4,9
24m,exclude_primary_dominant_project,02_100_250,valantis,13,0.0,0,0,13
24m,exclude_primary_dominant_project,02_100_250,verse_dex,24,1.1122263696269474,22,0,2
24m,exclude_primary_dominant_project,02_100_250,xchange,24,0.044142980189491816,1,0,23
24m,exclude_primary_dominant_project,03_250_500,0x API,16,-0.0005057991703377227,0,3,13
24m,exclude_primary_dominant_project,03_250_500,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,03_250_500,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,03_250_500,airswap,21,0.0,0,0,21
24m,exclude_primary_dominant_project,03_250_500,balancer,24,0.33232872904561656,23,1,0
24m,exclude_primary_dominant_project,03_250_500,bancor,24,0.032455614813974513,11,0,13
24m,exclude_primary_dominant_project,03_250_500,carbon_defi,24,0.0,0,0,24
24m,exclude_primary_dominant_project,03_250_500,clipper,24,0.0,0,0,24
24m,exclude_primary_dominant_project,03_250_500,curve,24,0.03255797275645766,14,8,2
24m,exclude_primary_dominant_project,03_250_500,defiswap,24,0.8283953061900774,23,1,0
24m,exclude_primary_dominant_project,03_250_500,dfx,7,0.0,0,0,7
24m,exclude_primary_dominant_project,03_250_500,dodo,24,1.1527649056958715,24,0,0
24m,exclude_primary_dominant_project,03_250_500,ekubo,10,0.9146555171371663,7,2,1
24m,exclude_primary_dominant_project,03_250_500,eulerswap,5,0.0,0,0,5
24m,exclude_primary_dominant_project,03_250_500,fluid,14,0.0033300102631214595,2,1,11
24m,exclude_primary_dominant_project,03_250_500,fraxswap,24,0.15607242164036508,9,2,13
24m,exclude_primary_dominant_project,03_250_500,integral,21,0.0,0,0,21
24m,exclude_primary_dominant_project,03_250_500,kyberswap,24,0.05368078402155909,4,3,17
24m,exclude_primary_dominant_project,03_250_500,maverick,24,0.3039749646643824,13,10,1
24m,exclude_primary_dominant_project,03_250_500,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,03_250_500,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,03_250_500,pancakeswap,24,0.6677545407789879,21,3,0
24m,exclude_primary_dominant_project,03_250_500,shibaswap,24,2.040694079823259,24,0,0
24m,exclude_primary_dominant_project,03_250_500,solidly,24,1.3029500657777675,17,6,1
24m,exclude_primary_dominant_project,03_250_500,sushiswap,24,0.9583757446739612,23,1,0
24m,exclude_primary_dominant_project,03_250_500,swaap,22,0.0,0,0,22
24m,exclude_primary_dominant_project,03_250_500,swapr,5,-0.6451612903225806,0,1,4
24m,exclude_primary_dominant_project,03_250_500,valantis,12,0.0,0,0,12
24m,exclude_primary_dominant_project,03_250_500,verse_dex,24,1.568313029710442,23,1,0
24m,exclude_primary_dominant_project,03_250_500,xchange,20,0.10852713178294573,1,0,19
