sample,excluded_project,trade_size_bin,trade_size,full_log_odds,loo_log_odds,log_odds_change_loo_minus_full,full_odds_ratio_vs_under_100,loo_odds_ratio_vs_under_100,OR_ratio_loo_vs_full,covariance_valid,status
24m_primary_all_project_versions,0x-API,07_5000_10000,$5k–10k,1.9746747087741696,1.974674708774189,1.9317880628477724e-14,7.204275784919845,7.204275784919984,1.0000000000000193,True,ok
24m_primary_all_project_versions,0x-API,08_10000_25000,$10k–25k,1.997572755231707,1.9975727552317313,2.4202861936828413e-14,7.3711427999472265,7.371142799947405,1.0000000000000242,True,ok
24m_primary_all_project_versions,0x-API,09_25000_50000,$25k–50k,1.8699601737307865,1.8699601737308067,2.020605904817785e-14,6.488037999793154,6.488037999793285,1.0000000000000202,True,ok
24m_primary_all_project_versions,0x-API,10_50000_100000,$50k–100k,1.613626568679092,1.6136265686791456,5.3512749786932545e-14,5.020987204633078,5.0209872046333475,1.0000000000000535,True,ok
24m_primary_all_project_versions,0x-API,11_100000_plus,≥$100k,1.7461015254186734,1.7461015254186707,-2.6645352591003757e-15,5.732212176502031,5.732212176502016,0.9999999999999973,True,ok
24m_primary_all_project_versions,1inch-LOP,02_100_250,$100–250,0.8273084816202131,0.8273084816202142,1.1102230246251565e-15,2.287154529987947,2.287154529987949,1.000000000000001,True,ok
24m_primary_all_project_versions,1inch-LOP,03_250_500,$250–500,1.205295906884678,1.2052959068846867,8.659739592076221e-15,3.337746594150325,3.337746594150354,1.0000000000000087,True,ok
24m_primary_all_project_versions,1inch-LOP,04_500_1000,$500–1k,1.460651348536876,1.4606513485368802,4.218847493575595e-15,4.30876512239444,4.308765122394458,1.0000000000000042,True,ok
24m_primary_all_project_versions,1inch-LOP,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6237987659614357,-2.0872192862952943e-14,5.072322329889904,5.072322329889798,0.9999999999999791,True,ok
24m_primary_all_project_versions,1inch-LOP,06_2500_5000,$2.5k–5k,1.820145693432597,1.8201456934325824,-1.4654943925052066e-14,6.172757714633513,6.1727577146334225,0.9999999999999853,True,ok
24m_primary_all_project_versions,1inch-LOP,07_5000_10000,$5k–10k,1.9746747087741696,1.9746747087741656,-3.9968028886505635e-15,7.204275784919845,7.204275784919816,0.999999999999996,True,ok
24m_primary_all_project_versions,1inch-LOP,08_10000_25000,$10k–25k,1.997572755231707,1.9975727552317306,2.353672812205332e-14,7.3711427999472265,7.3711427999474,1.0000000000000235,True,ok
24m_primary_all_project_versions,1inch-LOP,09_25000_50000,$25k–50k,1.8699601737307865,1.8699601737307752,-1.1324274851176597e-14,6.488037999793154,6.488037999793081,0.9999999999999887,True,ok
24m_primary_all_project_versions,1inch-LOP,10_50000_100000,$50k–100k,1.613626568679092,1.613626568679103,1.0880185641326534e-14,5.020987204633078,5.020987204633133,1.0000000000000109,True,ok
24m_primary_all_project_versions,1inch-LOP,11_100000_plus,≥$100k,1.7461015254186734,1.7461015254186858,1.2434497875801753e-14,5.732212176502031,5.732212176502103,1.0000000000000124,True,ok
24m_primary_all_project_versions,airswap,02_100_250,$100–250,0.8273084816202131,0.8273084816202085,-4.551914400963142e-15,2.287154529987947,2.2871545299879363,0.9999999999999954,True,ok
24m_primary_all_project_versions,airswap,03_250_500,$250–500,1.205295906884678,1.2052959068846836,5.551115123125783e-15,3.337746594150325,3.3377465941503437,1.0000000000000056,True,ok
24m_primary_all_project_versions,airswap,04_500_1000,$500–1k,1.460651348536876,1.4606513485368817,5.773159728050814e-15,4.30876512239444,4.3087651223944645,1.0000000000000058,True,ok
24m_primary_all_project_versions,airswap,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6237987659614532,-3.3306690738754696e-15,5.072322329889904,5.072322329889887,0.9999999999999967,True,ok
24m_primary_all_project_versions,airswap,06_2500_5000,$2.5k–5k,1.820145693432597,1.820145693432595,-1.9984014443252818e-15,6.172757714633513,6.172757714633501,0.999999999999998,True,ok
24m_primary_all_project_versions,airswap,07_5000_10000,$5k–10k,1.9746747087741696,1.9746747087741834,1.3766765505351941e-14,7.204275784919845,7.204275784919944,1.0000000000000138,True,ok
24m_primary_all_project_versions,airswap,08_10000_25000,$10k–25k,1.997572755231707,1.9975727552317213,1.4210854715202004e-14,7.3711427999472265,7.371142799947331,1.0000000000000142,True,ok
24m_primary_all_project_versions,airswap,09_25000_50000,$25k–50k,1.8699601737307865,1.8699601737307878,1.3322676295501878e-15,6.488037999793154,6.488037999793163,1.0000000000000013,True,ok
24m_primary_all_project_versions,airswap,10_50000_100000,$50k–100k,1.613626568679092,1.6136265686791122,2.020605904817785e-14,5.020987204633078,5.0209872046331805,1.0000000000000202,True,ok
24m_primary_all_project_versions,airswap,11_100000_plus,≥$100k,1.7461015254186734,1.746101525418678,4.6629367034256575e-15,5.732212176502031,5.732212176502058,1.0000000000000047,True,ok
24m_primary_all_project_versions,apeswap,02_100_250,$100–250,0.8273084816202131,0.8273080043036046,-4.773166084603986e-07,2.287154529987947,2.287153438291364,0.9999995226835054,True,ok
24m_primary_all_project_versions,apeswap,03_250_500,$250–500,1.205295906884678,1.2052953983906747,-5.084940033484031e-07,3.337746594150325,3.337744896926629,0.9999994915061259,True,ok
24m_primary_all_project_versions,apeswap,04_500_1000,$500–1k,1.460651348536876,1.4606507660955252,-5.824413507049542e-07,4.30876512239444,4.308762612792193,0.9999994175588189,True,ok
