bot_address,total_volume_usd
0xbd402a0cf18148389c6f10b6e67aea915c3960ec,1050122.8313657872
0x9636131443c6813f42b5da6137f3180f00000000,1031422.5720067248
0x32e8d6deaaef970bd0800edb1755fe747a06a01b,1030405.5510262541
0x874376be8231dad99aabf9ef0767b3cc054c60ee,1021252.518083309
0x801c868ce08fb5b396e6911eac351beb259d386c,1012815.9994249952
0xddd8ab39ae96e685aad71ac39d36d87500000000,1006379.465560813
0xeb718b342cd9da0143117ed77961255b83f89460,991301.4640575935
0xfcc3b8959d99f1154f0b1ac0252aa7e0f0617bcc,978902.9561523674
0xa83f4fe2ea4796eaba90dd2814c4b1f6c71112f5,977682.2080540181
0x77337ff10206480739a768124a18f3aa8c089153,948702.4991167479
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,941665.8560862435
0x87428a53e14d24ab19c6ca4939b4df93b8996ca9,941102.0807742171
0xa0d9ab5af36933656671fa0813ffb407e9e0fc75,933970.3623265066
0x3c442bab170f19dd40d0b1a405c9d93b088b9332,928243.8108140709
0x7cf6a842e72c4bd7bc92e0c17ebdaa95ac1e7825,927673.2853789976
0x1a58aa618df8f1ec282748fef6185c1a1cc2faa6,901605.4769823767
