victim_tier,pctile_in_tier,trades_in_bin,lower_edge_usd,upper_edge_usd,mean_usd,volume_usd,cutoff_p50,cutoff_p90
Small,88,15015,5575.995762238439,5775.19575796209,5674.001809110523,8.51951371637945e+07,1001.8474213724877,8986.607999999998
Small,89,15016,5775.198748654574,5967,5873.913277824024,8.820268177980554e+07,1001.8474213724877,8986.607999999998
Small,90,15015,5967.018764339997,6149.925500195885,6047.434730754694,9.080223248228173e+07,1001.8474213724877,8986.607999999998
Small,91,15016,6149.946765100274,6371.461170589203,6260.009535696593,9.400030318802004e+07,1001.8474213724877,8986.607999999998
Small,92,15015,6371.461875,6602.393401739126,6484.566174063621,9.736576110356526e+07,1001.8474213724877,8986.607999999998
Small,93,15015,6602.435172276619,6839.7623041690385,6720.981117055957,1.009155314725952e+08,1001.8474213724877,8986.607999999998
Small,94,15016,6839.769828716998,7054.565817332499,6952.322310181938,1.0439607180969198e+08,1001.8474213724877,8986.607999999998
Small,95,15015,7054.585742335175,7325.38175313705,7187.370292594792,1.079183649433108e+08,1001.8474213724877,8986.607999999998
Small,96,15016,7325.406431495677,7588.8853255147615,7457.620738228231,1.1198363300523512e+08,1001.8474213724877,8986.607999999998
Small,97,15015,7588.898243719675,7893.0063830723,7738.668366812023,1.1619610552768253e+08,1001.8474213724877,8986.607999999998
Small,98,15016,7893.030000000001,8200.959364898847,8033.795902303844,1.2063547926899453e+08,1001.8474213724877,8986.607999999998
Small,99,15015,8200.968902082031,8593.36822108366,8396.447813829367,1.2607266392464796e+08,1001.8474213724877,8986.607999999998
Small,100,15016,8593.399591147618,8986.590045019468,8794.830262088679,1.3206317121552362e+08,1001.8474213724877,8986.607999999998
Institutional,1,3753,8986.607999999998,9073.24,9026.272504524954,3.387560070948215e+07,1001.8474213724877,8986.607999999998
Institutional,2,3754,9073.258178596489,9181.530262830005,9126.777879420015,3.4261924159342736e+07,1001.8474213724877,8986.607999999998
Institutional,3,3754,9181.562074291161,9289.026998252582,9234.36448682747,3.466580428355032e+07,1001.8474213724877,8986.607999999998
Institutional,4,3754,9289.036065291912,9394.672,9341.176863518705,3.506677794564922e+07,1001.8474213724877,8986.607999999998
Institutional,5,3754,9394.695120360762,9492.72,9443.843576628127,3.545218878666199e+07,1001.8474213724877,8986.607999999998
Institutional,6,3754,9492.792366142912,9586.640390991937,9538.058587736825,3.5805871938364044e+07,1001.8474213724877,8986.607999999998
Institutional,7,3754,9586.67741764915,9677.08,9630.818709258392,3.615409343455601e+07,1001.8474213724877,8986.607999999998
Institutional,8,3753,9677.099999999999,9760.570575235328,9718.595685514527,3.647388960773602e+07,1001.8474213724877,8986.607999999998
