bot_address,total_trades,priced_trades,total_volume_usd
0x2b85986116d29864ac500441ccc448517cdd0af9,36,36,3.792126853340378e+06
0x56534741cd8b152df6d48adf7ac51f75169a83b2,90,90,3.7880699415281634e+06
0xf42f6714506511c1778cf1d9cbfc731bb67ba8bb,46,46,3.7846069936381746e+06
0x9bab9f7dfb7165a1802f848291dc9c6b98037612,870,870,3.688173940858079e+06
0x5777d92f208679db4b9778590fa3cab3ac9e2168,59,59,3.6001710247032493e+06
0xa8fb7d2b5ba043d17b8d683114b4b4c2a84ff329,1126,1126,3.5676109409823474e+06
0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,1549,1549,3.560122862436307e+06
0x0f9ae9f86154c8afee7e885d38e239f92ca9c37b,14,14,3.474024658953808e+06
0xb6569481dccddd527c2b0e8ba32f494e52224ca1,42,42,3.4134696753839487e+06
0xfb2fb49a79df0a82fafcadd24f36e7854e1ce6a2,144,141,3.395546723573604e+06
0x80eabd6df366b62fbb970029363c3e52eff00953,3384,3370,3.3253957095964537e+06
0xc885cdc63bc5098a9cc00cc6ebae7983e2d3d4d1,156,156,3.2908860571992286e+06
0x420cafe478ebb83542a70089e5a65da67cc829ac,9220,9220,3.2364603710904247e+06
0x420cafe569e2bbb9c6ca3d42a5fd228e3366c58e,3754,3754,3.2156406233552117e+06
0xf3a150716cb43142d51d1940f336cf8e01ab83a0,252,238,3.205667161074921e+06
0x6ec94f50cadcc79984463688de42a0ca696ec2db,490,490,3.1528487840893944e+06
0xe6ff8b9a37b0fab776134636d9981aa778c4e718,176,176,3.14879752063496e+06
0x00a2712e3200e89c6b8500b2da5c6c9431330000,461,461,3.0572697518004333e+06
0x1fdb319cc1be16ff75ef84e408b0bc1594dd4d3c,1235,1226,3.039852305890357e+06
0x00000000fda4c75bfb5e0f3a75ce3d811b6f6c88,5162,5162,2.9388836422907403e+06
